Building Size,County,Land Size,Price,Year Built,bathroom(s),bedroom(s),livingroom(s)
149.85,Chatham County,1173.59,279900,1997,2,3,0
284.56,Stanislaus,2221.5,745000,2025,5,4,1
115.94,Monroe,2387.65,225000,1964,2,3,0
309.74,Wake,1214.06,724900,2014,4,5,0
165.0,Grant,809.37,247900,1970,3,3,1
91.97,Onslow,890.31,135000,1974,1,3,0
178.37,Kent,324.96,399900,1878,2,2,0
112.23,Clark,536.61,310000,2001,2,2,0
72.84,Montgomery,183.32,89900,1885,1,2,0
178.28,FREDERICK,485.62,419900,2002,2,2,0
180.7,Hillsborough,485.62,365000,2017,3,3,1
419.55,Hamilton,5463.26,885000,1989,5,4,1
112.6,Mohave,566.56,240000,1986,2,2,0
478.17,St Lucie,3067.92,849000,1959,5,5,0
118.92,WASHINGTON,161.87,709000,1924,3,4,0
71.35,Cherokee,687.97,119500,1963,1,2,0
304.63,MADISON,1497.34,520000,1992,3,4,0
644.75,Monroe,323.75,399000,1992,2,2,0
139.35,Hamilton,3075.61,458000,1950,2,4,0
145.76,Yavapai,13152.29,499000,2000,2,4,0
176.98,Lee,1133.12,425000,1981,2,3,0
182.83,Overton,1902.02,169900,1988,1,4,0
204.39,DeSoto,1011.72,389995,2025,3,4,1
207.73,Bedford,2104.37,439900,1990,3,4,0
170.57,Grand Traverse,687.97,675000,1907,2,4,1
141.49,Maricopa,687.97,324900,1980,2,2,0
155.33,Lee,809.37,365000,2019,2,3,0
223.52,Franklin,4249.2,29500,1840,3,6,0
153.75,El Paso,607.03,250000,1978,2,4,0
127.09,Horry,485.62,265000,2002,2,3,0
186.55,Williamson,422.9,345000,2022,3,3,1
170.38,Brown,930.78,375000,1977,3,3,1
318.29,MONTGOMERY,526.09,220000,1906,2,5,0
96.62,Baraga,1416.4,210000,1973,1,3,1
354.89,Orange,40509.07,2700000,1997,7,4,1
149.76,Ada,756.76,499900,2002,2,4,0
146.04,Hartford,8903.09,439900,1954,2,3,0
237.27,Bath,40468.6,449900,2023,0,2,1
78.97,Crow Wing,80.94,204999,1987,1,1,0
175.31,Carteret,728.43,795000,1993,3,3,0
175.4,Lincoln,8053.25,379900,2023,2,4,0
179.02,Muscatine,784848.06,3550000,1980,4,3,0
167.6,DORCHESTER,2347.18,149000,1900,2,3,0
309.74,Bexar,631.31,750000,2023,3,4,1
278.8,Maricopa,3358.89,3565000,1984,3,4,0
150.32,Peach County,809.37,289622,2025,2,3,0
161.65,Van Buren,79277.98,245000,2003,2,3,1
158.86,Leon,12140.58,400000,1997,2,3,0
168.53,"Johnson, KS",871.29,399500,1970,2,4,0
143.91,Hillsborough,526.09,275000,1926,1,2,1
119.66,Iron,1375.93,149900,1962,1,3,1
188.5,Williamson,458.91,450000,2021,3,4,0
142.7,Wayne,3642.17,229000,1988,2,3,1
141.96,Pueblo,5139.51,485000,2018,2,3,0
501.68,Richmond,809.37,2397000,2014,6,4,0
167.69,Onslow,1861.56,274900,1966,3,3,0
248.42,Orange,9712.46,1675000,1953,3,3,1
554.26,Oconee Co.,9307.78,865000,2006,3,4,0
96.62,Kent,1052.18,475000,1972,1,3,0
114.08,Bedford,8498.41,229995,1993,2,3,0
236.9,Pulaski,3642.17,265000,2001,4,3,0
136.75,FAUQUIER,40468.6,450000,1970,2,3,0
430.51,Iredell,4046.86,1825000,2001,4,4,0
534.38,Clermont,1579.49,800000,2006,5,5,1
327.2,Val Verde,8417.47,550000,1982,5,4,0
186.18,Aransas,647.5,395000,1977,2,3,0
371.61,Rabun,25738.03,750000,1982,3,4,0
254.37,Grand Traverse,890.31,525000,1954,3,4,1
189.06,St. Joseph,41237.5,559900,1995,2,3,1
581.2,Albemarle,1505431.88,19950000,1940,7,6,1
131.09,Cumberland,1416.4,1500000,1988,3,3,1
186.55,MONTGOMERY,161.87,940000,2021,5,4,0
