Price,Land Size,Building Size,Year Built,Rooms,County
"USD $32,500","22,500.54 m2",,,,Somerset
"USD $257,000","94,494.18 m2",,,,Faulkner
"USD $49,000","3,318.43 m2",,,,Rhea
"USD $109,900","51,435.59 m2",,,,Muskegon
"USD $185,000","189,433.52 m2",,,,Ottawa
"USD $54,900","40,468.60 m2",,,,Iosco County
"USD $184,900","105,218.36 m2",,,,Antrim
"USD $25,000","3,399.36 m2",,,,Victoria
"USD $1,200,000","258,999.05 m2",,,,Cumberland
"USD $315,000","21,165.08 m2",,,,Berkeley
"USD $849,000","183,727.45 m2",,,,Rutland
"USD $250,000","49,533.57 m2",,,,Pickens
"USD $24,000","2,792.33 m2",,,,PAGE
"USD $1,550,000","2,144.84 m2",,,,St. Johns
"USD $209,000","259,403.72 m2",,,,Coos
"USD $499,900","2,608.61 m2",138.80 m2,,"3 bedroom(s), 2 bathroom(s)",Monroe
"USD $1,375,000",,102.66 m2,,"2 bedroom(s), 2 bathroom(s)",Hudson
"USD $825,000","117,358.94 m2",,,,Cumberland
"USD $52,000",,,,,Halifax
"USD $279,900","1,173.59 m2",149.85 m2,1997,"3 bedroom(s), 2 bathroom(s)",Chatham County
"USD $889,900",,246.47 m2,,"3 bedroom(s), 2 bathroom(s)",St. Louis
"USD $395,000","526,091.81 m2",,,,Simpson
"USD $745,000","2,221.50 m2",284.56 m2,2025,"4 bedroom(s), 5 bathroom(s), 1 livingroom(s)",Stanislaus
"USD $984,900",,356.75 m2,,"4 bedroom(s), 4 bathroom(s)",St. Louis
"USD $225,000","2,387.65 m2",115.94 m2,1964,"3 bedroom(s), 2 bathroom(s)",Monroe
"USD $18,500","4,977.64 m2",,,,
"USD $99,000","89,030.92 m2",,,,Chester
"USD $698,000",,929.03 m2,1920,"16 bedroom(s), 10 bathroom(s), 1 livingroom(s)",
"USD $210,000",,99.03 m2,1973,"1 bedroom(s), 2 bathroom(s)",Broward
"USD $725,000","542,724.38 m2",,,,Oglethorpe Co.
"USD $369,000",650.33 m2,,1978,,Maricopa
"USD $724,900","1,214.06 m2",309.74 m2,2014,"5 bedroom(s), 4 bathroom(s)",Wake
"USD $270,000","19,829.62 m2",,,,Wake
"USD $385,900",,64.66 m2,2006,"1 bedroom(s), 1 bathroom(s)",WASHINGTON
"USD $739,000","4,653.89 m2",,1986,"5 bedroom(s), 3 bathroom(s)",QUEEN ANNES
"USD $247,900",809.37 m2,165.00 m2,1970,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Grant
"USD $269,000",,88.91 m2,1997,"2 bedroom(s), 2 bathroom(s)",Wayne
"USD $135,000",890.31 m2,91.97 m2,1974,"3 bedroom(s), 1 bathroom(s)",Onslow
"USD $399,900",324.96 m2,178.37 m2,1878,"2 bedroom(s), 2 bathroom(s)",Kent
"USD $310,000",536.61 m2,112.23 m2,2001,"2 bedroom(s), 2 bathroom(s)",Clark
"USD $365,000",,90.39 m2,1986,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Wake
"USD $89,900",183.32 m2,72.84 m2,1885,"2 bedroom(s), 1 bathroom(s)",Montgomery
"USD $419,900",485.62 m2,178.28 m2,2002,"2 bedroom(s), 2 bathroom(s)",FREDERICK
"USD $1,400,000","1,164.69 m2",599.60 m2,1940,,Middlesex
"USD $535,000",891.93 m2,382.57 m2,2023,,Hidalgo
"USD $365,000",485.62 m2,180.70 m2,2017,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Hillsborough
"USD $885,000","5,463.26 m2",419.55 m2,1989,"4 bedroom(s), 5 bathroom(s), 1 livingroom(s)",Hamilton
"USD $240,000",566.56 m2,112.60 m2,1986,"2 bedroom(s), 2 bathroom(s)",Mohave
"USD $934,900",,258.08 m2,,"3 bedroom(s), 2 bathroom(s)",St. Louis
"USD $899,900",,228.45 m2,2025,"5 bedroom(s), 4 bathroom(s)",Fulton
"USD $849,000","3,067.92 m2",478.17 m2,1959,"5 bedroom(s), 5 bathroom(s)",St Lucie
"USD $709,000",161.87 m2,118.92 m2,1924,"4 bedroom(s), 3 bathroom(s)",WASHINGTON
"USD $495,000",,199.74 m2,2025,"3 bedroom(s), 3 bathroom(s)",Owensboro
"USD $570,000",,178.37 m2,1978,"4 bedroom(s), 3 bathroom(s)",Clackamas
"USD $119,500",687.97 m2,71.35 m2,1963,"2 bedroom(s), 1 bathroom(s)",Cherokee
"USD $315,000","14,568.70 m2",,,,Hennepin
"USD $259,000",,221.57 m2,,"3 bedroom(s), 2 bathroom(s)",Walker
"USD $520,000","1,497.34 m2",304.63 m2,1992,"4 bedroom(s), 3 bathroom(s)",MADISON
"USD $399,000",323.75 m2,644.75 m2,1992,"2 bedroom(s), 2 bathroom(s)",Monroe
"USD $458,000","3,075.61 m2",139.35 m2,1950,"4 bedroom(s), 2 bathroom(s)",Hamilton
"USD $499,000","13,152.29 m2",145.76 m2,2000,"4 bedroom(s), 2 bathroom(s)",Yavapai
"USD $425,000","1,133.12 m2",176.98 m2,1981,"3 bedroom(s), 2 bathroom(s)",Lee
"USD $169,900","1,902.02 m2",182.83 m2,1988,"4 bedroom(s), 1 bathroom(s)",Overton
"USD $550,000",,94.02 m2,1968,"2 bedroom(s), 2 bathroom(s)",Collier
"USD $389,995","1,011.72 m2",204.39 m2,2025,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",DeSoto
"USD $439,900","2,104.37 m2",207.73 m2,1990,"4 bedroom(s), 3 bathroom(s)",Bedford
"USD $24,900",,,1983,"2 bedroom(s), 1 bathroom(s)",
"USD $675,000",687.97 m2,170.57 m2,1907,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Grand Traverse
"USD $324,900",687.97 m2,141.49 m2,1980,"2 bedroom(s), 2 bathroom(s)",Maricopa
"USD $365,000",809.37 m2,155.33 m2,2019,"3 bedroom(s), 2 bathroom(s)",Lee
"USD $29,500","4,249.20 m2",223.52 m2,1840,"6 bedroom(s), 3 bathroom(s)",Franklin
"USD $250,000",607.03 m2,153.75 m2,1978,"4 bedroom(s), 2 bathroom(s)",El Paso
"USD $1,130,000",,,1971,"5 bedroom(s), 3 bathroom(s)",FAIRFAX
"USD $265,000",485.62 m2,127.09 m2,2002,"3 bedroom(s), 2 bathroom(s)",Horry
"USD $275,000",,130.06 m2,1960,,Antrim
"USD $475,000",,222.04 m2,2021,"4 bedroom(s), 3 bathroom(s)",
"USD $345,000",422.90 m2,186.55 m2,2022,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Williamson
"USD $24,900",,,1982,"2 bedroom(s), 1 bathroom(s)",
"USD $375,000",930.78 m2,170.38 m2,1977,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Brown
"USD $220,000",526.09 m2,318.29 m2,1906,"5 bedroom(s), 2 bathroom(s)",MONTGOMERY
"USD $210,000","1,416.40 m2",96.62 m2,1973,"3 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Baraga
"USD $2,700,000","40,509.07 m2",354.89 m2,1997,"4 bedroom(s), 7 bathroom(s), 1 livingroom(s)",Orange
"USD $499,900",756.76 m2,149.76 m2,2002,"4 bedroom(s), 2 bathroom(s)",Ada
"USD $225,000","48,724.20 m2",127.18 m2,,"2 bedroom(s), 1 bathroom(s)",Pearl River Cnty
"USD $75,000",557.25 m2,113.71 m2,,"3 bedroom(s), 2 bathroom(s)",Roosevelt
"USD $439,000",,113.06 m2,2023,"2 bedroom(s), 2 bathroom(s)",HOWARD
"USD $285,000","1,982.96 m2",,1947,"2 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Hamilton
"USD $439,900","8,903.09 m2",146.04 m2,1954,"3 bedroom(s), 2 bathroom(s)",Hartford
"USD $925,000",,221.11 m2,2004,"3 bedroom(s), 4 bathroom(s), 1 livingroom(s)",Middlesex
"USD $449,900","40,468.60 m2",237.27 m2,2023,"2 bedroom(s), 1 livingroom(s)",Bath
"USD $204,999",80.94 m2,78.97 m2,1987,"1 bedroom(s), 1 bathroom(s)",Crow Wing
"USD $825,000",,202.81 m2,1988,"3 bedroom(s), 3 bathroom(s)",Palm Beach County
"USD $795,000",728.43 m2,175.31 m2,1993,"3 bedroom(s), 3 bathroom(s)",Carteret
"USD $145,500","3,439.83 m2",,,"2 bedroom(s), 2 bathroom(s)",Pickens
"USD $509,000",,151.99 m2,1997,"3 bedroom(s), 2 bathroom(s)",Palm Beach
"USD $309,900",,107.49 m2,1983,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Wake
"USD $379,900","8,053.25 m2",175.40 m2,2023,"4 bedroom(s), 2 bathroom(s)",Lincoln
"USD $329,000",161.87 m2,342.91 m2,,,Lubbock
"USD $3,550,000","784,848.06 m2",179.02 m2,1980,"3 bedroom(s), 4 bathroom(s)",Muscatine
"USD $285,000",,148.83 m2,1968,"3 bedroom(s), 2 bathroom(s)",DOUGLAS
"USD $149,000","2,347.18 m2",167.60 m2,1900,"3 bedroom(s), 2 bathroom(s)",DORCHESTER
"USD $285,000",,148.83 m2,1968,"3 bedroom(s), 2 bathroom(s)",Douglas
"USD $750,000",631.31 m2,309.74 m2,2023,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Bexar
"USD $3,565,000","3,358.89 m2",278.80 m2,1984,"4 bedroom(s), 3 bathroom(s)",Maricopa
"USD $289,622",809.37 m2,150.32 m2,2025,"3 bedroom(s), 2 bathroom(s)",Peach County
"USD $270,000",,173.17 m2,1989,"3 bedroom(s), 2 bathroom(s)",Sangamon
"USD $245,000","79,277.98 m2",161.65 m2,2003,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Van Buren
"USD $400,000","12,140.58 m2",158.86 m2,1997,"3 bedroom(s), 2 bathroom(s)",Leon
"USD $399,500",871.29 m2,168.53 m2,1970,"4 bedroom(s), 2 bathroom(s)","Johnson, KS"
"USD $275,000",526.09 m2,143.91 m2,1926,"2 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Hillsborough
"USD $589,900","13,192.76 m2",362.41 m2,,"5 bedroom(s), 3 bathroom(s)",Marshall
"USD $149,900","1,375.93 m2",119.66 m2,1962,"3 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Iron
"USD $450,000",458.91 m2,188.50 m2,2021,"4 bedroom(s), 3 bathroom(s)",Williamson
"USD $229,000","3,642.17 m2",142.70 m2,1988,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Wayne
"USD $485,000","5,139.51 m2",141.96 m2,2018,"3 bedroom(s), 2 bathroom(s)",Pueblo
"USD $2,397,000",809.37 m2,501.68 m2,2014,"4 bedroom(s), 6 bathroom(s)",Richmond
"USD $274,900","1,861.56 m2",167.69 m2,1966,"3 bedroom(s), 3 bathroom(s)",Onslow
"USD $350,000","10,926.52 m2",,,,LANCASTER
"USD $1,350,000","1,295.00 m2",353.77 m2,2001,"6 bedroom(s), 3 bathroom(s)",
"USD $1,675,000","9,712.46 m2",248.42 m2,1953,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Orange
"USD $865,000","9,307.78 m2",554.26 m2,2006,"4 bedroom(s), 3 bathroom(s)",Oconee Co.
"USD $475,000","1,052.18 m2",96.62 m2,1972,"3 bedroom(s), 1 bathroom(s)",Kent
"USD $229,995","8,498.41 m2",114.08 m2,1993,"3 bedroom(s), 2 bathroom(s)",Bedford
"USD $265,000","3,642.17 m2",236.90 m2,2001,"3 bedroom(s), 4 bathroom(s)",Pulaski
"USD $174,999",,118.27 m2,1925,,Lee
"USD $450,000","40,468.60 m2",136.75 m2,1970,"3 bedroom(s), 2 bathroom(s)",FAUQUIER
"USD $1,825,000","4,046.86 m2",430.51 m2,2001,"4 bedroom(s), 4 bathroom(s)",Iredell
"USD $69,000","3,237.49 m2",,,,Walworth
"USD $800,000","1,579.49 m2",534.38 m2,2006,"5 bedroom(s), 5 bathroom(s), 1 livingroom(s)",Clermont
"USD $155,000","1,618.74 m2",,1976,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Beaver
"USD $550,000","8,417.47 m2",327.20 m2,1982,"4 bedroom(s), 5 bathroom(s)",Val Verde
"USD $395,000",647.50 m2,186.18 m2,1977,"3 bedroom(s), 2 bathroom(s)",Aransas
"USD $635,000",,,,,Mecklenburg
"USD $750,000","25,738.03 m2",371.61 m2,1982,"4 bedroom(s), 3 bathroom(s)",Rabun
"USD $249,900",809.37 m2,138.43 m2,,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Portage County
"USD $525,000",890.31 m2,254.37 m2,1954,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Grand Traverse
"USD $409,000",,183.02 m2,2025,"3 bedroom(s), 3 bathroom(s)",Champaign
"USD $559,900","41,237.50 m2",189.06 m2,1995,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",St. Joseph
"USD $19,950,000","1,505,431.88 m2",581.20 m2,1940,"6 bedroom(s), 7 bathroom(s), 1 livingroom(s)",Albemarle
"USD $1,500,000","1,416.40 m2",131.09 m2,1988,"3 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Cumberland
"USD $940,000",161.87 m2,186.55 m2,2021,"4 bedroom(s), 5 bathroom(s)",MONTGOMERY
"USD $269,000",,149.95 m2,1994,"2 bedroom(s), 3 bathroom(s)",Carteret
"USD $2,179,000",454.87 m2,158.03 m2,1948,"3 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Los Angeles
"USD $2,995,000",,241.55 m2,2000,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Suffolk County
"USD $463,000","1,497.34 m2",226.31 m2,2005,"4 bedroom(s), 3 bathroom(s), 1 livingroom(s)",Hamilton
"USD $549,000",,215.07 m2,1967,"4 bedroom(s), 3 bathroom(s)",MONTGOMERY
"USD $240,000","1,011.72 m2",206.43 m2,1979,"3 bedroom(s), 2 bathroom(s)",Hockley
"USD $267,000",323.75 m2,120.31 m2,1968,"2 bedroom(s), 2 bathroom(s)",Maricopa
"USD $240,000",930.78 m2,103.68 m2,1984,"2 bedroom(s), 2 bathroom(s)",Mohave
"USD $375,000",464.58 m2,168.53 m2,1923,"4 bedroom(s), 3 bathroom(s)",Union
"USD $529,500",515.57 m2,197.79 m2,2005,"3 bedroom(s), 3 bathroom(s)",Williamson
"USD $229,697","2,428.12 m2",166.39 m2,2025,"4 bedroom(s), 2 bathroom(s), 1 livingroom(s)",Anderson
"USD $74,900",849.84 m2,262.45 m2,1880,"5 bedroom(s), 1 bathroom(s), 1 livingroom(s)",Lee
"USD $999,900","2,063.90 m2",263.75 m2,1973,"4 bedroom(s), 4 bathroom(s)",Essex
"USD $309,000",,82.50 m2,1999,"1 bedroom(s), 1 bathroom(s)",Fulton
"USD $995,000","1,740.15 m2",227.61 m2,1958,"4 bedroom(s), 4 bathroom(s)",Dekalb - GA
"USD $335,000",,236.72 m2,,"6 bedroom(s), 3 bathroom(s)",Jefferson
"USD $362,000",,130.06 m2,2004,"3 bedroom(s), 3 bathroom(s)",Lafayette
"USD $675,000","1,052.18 m2",160.16 m2,1950,"3 bedroom(s), 2 bathroom(s)",CAMDEN
"USD $1,499,000","16,187.44 m2",385.83 m2,1966,"4 bedroom(s), 5 bathroom(s)",Hamilton
"USD $715,000","3,763.58 m2",242.11 m2,2004,"4 bedroom(s), 3 bathroom(s)",Davidson
"USD $625,000",485.62 m2,147.16 m2,1956,3 bedroom(s),Pinellas
"USD $1,150,000",890.31 m2,100.80 m2,1915,"3 bedroom(s), 2 bathroom(s)",Barnstable
"USD $449,900",810.99 m2,177.72 m2,1995,"2 bedroom(s), 2 bathroom(s)",Williamson
